t[s],Bpos,Bspd,A[cm²],Mma[Å²],P1[mN/m],P2[mN/m],T[°C],SP[V],pH,AD[V]
0.04,0,0,783,,0.0154,0,-213.35,,-1.36,0
1.13,0.138,10,782.6,,0.0077,0,-123.25,,-1.36,0
2.26,0.327,10,782.05,,0.0025,0,-169.79,,-1.36,0
3.26,0.494,10,781.57,,0.0312,0,-314.18,,-1.36,0
4.38,0.681,10,781.03,,0.0528,0,-494.19,,-1.36,0
5.38,0.851,10,780.53,,0.0654,0,-420.73,,-1.36,0
6.5,1.04,10,779.98,,0.0165,0,-313.25,,-1.36,0
7.51,1.205,10,779.51,,0.0328,0,-239.28,,-1.36,0
8.63,1.392,10,778.96,,0.0081,0,-295.38,,-1.36,0
9.75,1.581,10,778.42,,0.029,0,-262.74,,-1.36,0
10.87,1.768,10,777.87,,0.0138,0,-104.37,,-1.36,0
12,1.956,10,777.33,,0.0333,0,-76.38,,-1.36,0
13,2.123,10,776.84,,0.0222,0,-9.19,,-1.36,0
14.13,2.309,10,776.3,,0.0243,0,-82.07,,-1.36,0
15.13,2.476,10,775.82,,0.0086,0,-211.79,,-1.36,0
16.25,2.664,10,775.27,,0.0299,0,-260.02,,-1.36,0
17.25,2.829,10,774.79,,0.0226,0,-104.99,,-1.36,0
18.26,2.997,10,774.31,,0.0155,0,78.76,,-1.36,0
19.38,3.188,10,773.75,,0.0045,0,7.93,,-1.36,0
20.39,3.356,10,773.27,,0.011,0,-33.28,,-1.36,0
21.51,3.542,10,772.73,,0.016,0,54,,-1.36,0
22.53,3.713,10,772.23,,0.0405,0,29.88,,-1.36,0
23.54,3.881,10,771.75,,0.0236,0,25.72,,-1.36,0
24.66,4.068,10,771.2,,0.0282,0,-38.69,,-1.36,0
25.66,4.234,10,770.72,,0.017,0,-160.36,,-1.36,0
26.78,4.423,10,770.17,,0.0191,0,-326.79,,-1.36,0
27.9,4.61,10,769.63,,0.0193,0,-286.9,,-1.36,0
28.91,4.775,10,769.15,,0.0276,0,-119.61,,-1.36,0
29.93,4.947,10,768.65,,0.0156,0,-120.12,,-1.36,0
30.93,5.114,10,768.17,,0.0323,0,-327.1,,-1.36,0
31.94,5.286,10,767.67,,0.0549,0,-296.24,,-1.36,0
32.95,5.451,10,767.19,,0.0312,0,-112.01,,-1.36,0
34.07,5.638,10,766.65,,0.018,0,139.4,,-1.36,0
35.19,5.825,10,766.11,,0.023,0,147.74,,-1.36,0
36.19,5.993,10,765.62,,0.0458,0,121.83,,-1.36,0
37.31,6.181,10,765.08,,0.0197,0,180.02,,-1.36,0
38.31,6.347,10,764.59,,0.0253,0,145.19,,-1.36,0
39.44,6.534,10,764.05,,0.0091,0,9.17,,-1.36,0
40.56,6.723,10,763.5,,0.0237,0,-158.03,,-1.36,0
41.68,6.91,10,762.96,,0.0237,0,-227.07,,-1.36,0
42.69,7.075,10,762.48,,0.0056,0,-267.46,,-1.36,0
43.81,7.264,10,761.93,,-0.0064,0,-317.55,,-1.36,0
44.93,7.45,10,761.4,,0.0138,0,-200.35,,-1.36,0
46.06,7.638,10,760.85,,0.004,0,-2.21,,-1.36,0
47.06,7.805,10,760.37,,0.021,0,99.22,,-1.36,0
48.18,7.993,10,759.82,,0.0228,0,40.36,,-1.36,0
49.3,8.18,10,759.28,,0.031,0,6.6,,-1.36,0
50.3,8.346,10,758.8,,0.024,0,112.66,,-1.36,0
51.42,8.536,10,758.25,,0.024,0,112.71,,-1.36,0
52.43,8.701,10,757.77,,0.0324,0,-92.11,,-1.36,0
53.55,8.889,10,757.22,,0.0148,0,-297.63,,-1.36,0
54.67,9.075,10,756.68,,0.0103,0,-261,,-1.36,0
55.8,9.265,10,756.13,,0.0367,0,-260.09,,-1.36,0
56.92,9.451,10,755.59,,-0.0004,0,-297.48,,-1.36,0
58.04,9.638,10,755.05,,0.0189,0,-444.04,,-1.36,0
59.16,9.825,10,754.51,,-0.0018,0,-361.98,,-1.36,0
60.29,10.014,10,753.96,,0.0248,0,-260.34,,-1.36,0
61.41,10.202,10,753.41,,0.0083,0,-181.69,,-1.36,0
62.53,10.388,10,752.87,,0.0101,0,53.05,,-1.36,0
63.53,10.555,10,752.39,,0.0024,0,160.02,,-1.36,0
64.65,10.742,10,751.85,,0.0104,0,60.55,,-1.36,0
65.77,10.93,10,751.3,,0.0023,0,60.97,,-1.36,0
66.78,11.101,10,750.81,,-0.0057,0,123.18,,-1.36,0
67.9,11.284,10,750.28,,0.0019,0,53.48,,-1.36,0
68.91,11.455,10,749.78,,-0.0132,0,-278.91,,-1.36,0
70.03,11.642,10,749.24,,0.0068,0,-407.33,,-1.36,0
71.15,11.825,10,748.71,,0.0335,0,-322.74,,-1.37,0
72.27,12.014,10,748.16,,0.0209,0,-97.15,,-1.37,0
73.4,12.2,10,747.62,,0.0231,0,-48.61,,-1.37,0
74.52,12.389,10,747.07,,0.0159,0,-95.93,,-1.37,0
75.65,12.576,10,746.53,,0.0138,0,-98.52,,-1.37,0
76.77,12.762,10,745.99,,0.0023,0,43.52,,-1.37,0
77.77,12.932,10,745.5,,0.0102,0,130.53,,-1.37,0
78.88,13.117,10,744.96,,0.004,0,-20.53,,-1.37,0
79.89,13.285,10,744.47,,0.038,0,-277.44,,-1.37,0
81.01,13.471,10,743.93,,-0.0147,0,-252.07,,-1.37,0
82.02,13.642,10,743.44,,0.0201,0,-77.25,,-1.37,0
83.02,13.81,10,742.95,,-0.0138,0,-1.06,,-1.37,0
84.02,13.975,10,742.47,,0.0043,0,-100.58,,-1.37,0
85.02,14.142,10,741.99,,-0.0102,0,-335.58,,-1.37,0
86.15,14.33,10,741.44,,0.0103,0,-392.69,,-1.37,0
87.27,14.519,10,740.9,,0.0073,0,-288.46,,-1.37,0
88.28,14.689,10,740.4,,0.0032,0,-104.82,,-1.37,0
89.4,14.875,10,739.86,,-0.0031,0,-29.4,,-1.37,0
90.41,15.043,10,739.38,,0.02,0,-54.71,,-1.37,0
91.41,15.208,10,738.9,,0.0168,0,-129.95,,-1.37,0
92.53,15.398,10,738.35,,0.0158,0,-298.97,,-1.37,0
93.66,15.584,10,737.81,,0.001,0,-376.64,,-1.37,0
94.67,15.756,10,737.31,,0.0214,0,-386.87,,-1.37,0
95.68,15.92,10,736.83,,0.0027,0,-218.08,,-1.37,0
96.69,16.092,10,736.33,,-0.0082,0,-70.73,,-1.37,0
97.69,16.258,10,735.85,,0.0086,0,-46.92,,-1.37,0
98.7,16.425,10,735.37,,0.006,0,-103.56,,-1.37,0
99.7,16.593,10,734.88,,-0.0053,0,-285.51,,-1.37,0
100.82,16.78,10,734.34,,0.0028,0,-255.14,,-1.37,0
101.82,16.947,10,733.85,,-0.0109,0,-128.87,,-1.37,0
102.95,17.135,10,733.31,,0.0064,0,-74.5,,-1.37,0
104.07,17.322,10,732.77,,-0.0075,0,-15.34,,-1.37,0
105.07,17.488,10,732.29,,0.0077,0,-92.13,,-1.37,0
106.19,17.676,10,731.74,,-0.0045,0,65.44,,-1.37,0
107.2,17.847,10,731.24,,0.0025,0,36.03,,-1.37,0
108.32,18.034,10,730.7,,-0.0008,0,57.19,,-1.37,0
109.45,18.22,10,730.16,,0.0017,0,-69.42,,-1.37,0
110.57,18.41,10,729.61,,0.0072,0,-144.93,,-1.37,0
111.57,18.576,10,729.13,,0.0124,0,-289.79,,-1.37,0
112.7,18.762,10,728.59,,0.0074,0,-118.41,,-1.37,0
113.82,18.951,10,728.04,,0.036,0,105.98,,-1.37,0
114.94,19.139,10,727.5,,0.0162,0,69.12,,-1.37,0
116.07,19.326,10,726.95,,0.0083,0,-142.65,,-1.37,0
117.07,19.49,10,726.48,,0.0103,0,-340.7,,-1.37,0
118.19,19.68,10,725.93,,-0.0027,0,-275.8,,-1.37,0
119.31,19.866,10,725.39,,-0.0005,0,-283.42,,-1.37,0
120.31,20.034,10,724.9,,0.0016,0,-355.85,,-1.37,0
121.43,20.221,10,724.36,,0.0015,0,-377.92,,-1.37,0
122.56,20.407,10,723.82,,-0.0024,0,-326.62,,-1.37,0
123.68,20.597,10,723.27,,-0.0034,0,-269.94,,-1.37,0
124.68,20.765,10,722.78,,-0.0061,0,-35.07,,-1.37,0
125.79,20.949,10,722.25,,-0.0176,0,24.25,,-1.37,0
126.8,21.116,10,721.76,,0.0125,0,87.49,,-1.37,0
127.92,21.304,10,721.22,,-0.0156,0,55.19,,-1.37,0
129.04,21.493,10,720.67,,0.0005,0,152.56,,-1.37,0
130.16,21.675,10,720.14,,-0.0079,0,175.92,,-1.37,0
131.16,21.847,10,719.64,,0.0075,0,16.64,,-1.37,0
132.16,22.013,10,719.16,,0.0067,0,-241.78,,-1.37,0
133.29,22.2,10,718.62,,0.0073,0,-487.01,,-1.37,0
134.29,22.367,10,718.14,,0.0121,0,-533.96,,-1.37,0
135.41,22.554,10,717.59,,0.0006,0,-460.38,,-1.37,0
136.42,22.722,10,717.11,,-0.0089,0,-442.07,,-1.37,0
137.44,22.891,10,716.61,,-0.0109,0,-417.54,,-1.37,0
138.56,23.08,10,716.07,,-0.0181,0,-352.15,,-1.37,0
139.69,23.267,10,715.53,,0.0014,0,-131.95,,-1.37,0
140.81,23.455,10,714.98,,-0.0162,0,-8.58,,-1.37,0
141.81,23.622,10,714.5,,-0.0075,0,130.26,,-1.37,0
142.82,23.793,10,714,,-0.0062,0,180.53,,-1.37,0
143.83,23.959,10,713.52,,-0.0098,0,92.71,,-1.37,0
144.95,24.145,10,712.98,,-0.0186,0,30.03,,-1.37,0
145.96,24.312,10,712.5,,-0.0036,0,-116.56,,-1.37,0
146.96,24.481,10,712,,-0.0225,0,-89.7,,-1.37,0
147.97,24.65,10,711.51,,-0.0036,0,-183.78,,-1.37,0
149.09,24.839,10,710.97,,-0.0032,0,-112.45,,-1.37,0
150.21,25.026,10,710.42,,0.0022,0,-141.76,,-1.37,0
151.22,25.193,10,709.94,,-0.0066,0,-137.27,,-1.37,0
152.34,25.381,10,709.39,,-0.0136,0,-160.25,,-1.37,0
153.46,25.568,10,708.85,,-0.016,0,-148.29,,-1.37,0
154.59,25.754,10,708.31,,-0.012,0,-241.49,,-1.37,0
155.71,25.943,10,707.77,,-0.0131,0,-227.79,,-1.37,0
156.83,26.128,10,707.23,,-0.0021,0,-114.96,,-1.37,0
157.96,26.316,10,706.68,,-0.0079,0,23.97,,-1.37,0
159.08,26.503,10,706.14,,-0.0125,0,-177.79,,-1.37,0
160.09,26.669,10,705.66,,-0.011,0,-245.85,,-1.37,0
161.1,26.841,10,705.16,,-0.0171,0,-248.86,,-1.37,0
162.11,27.009,10,704.67,,-0.0216,0,-9.99,,-1.37,0
163.11,27.178,10,704.18,,-0.0142,0,-24.56,,-1.37,0
164.12,27.346,10,703.7,,-0.0098,0,-32.21,,-1.37,0
165.25,27.534,10,703.15,,-0.0254,0,46.67,,-1.37,0
166.37,27.721,10,702.61,,0.0006,0,-55.4,,-1.37,0
167.49,27.908,10,702.07,,-0.0055,0,-107.73,,-1.37,0
168.5,28.075,10,701.58,,0.0023,0,-164.22,,-1.37,0
169.62,28.262,10,701.04,,-0.0067,0,-194.56,,-1.37,0
170.75,28.451,10,700.49,,0.0117,0,-363.25,,-1.37,0
171.87,28.636,10,699.96,,-0.0203,0,-252.52,,-1.37,0
172.99,28.824,10,699.41,,-0.0121,0,-37.18,,-1.37,0
174.11,29.012,10,698.87,,-0.0274,0,82.73,,-1.37,0
175.23,29.2,10,698.32,,-0.0222,0,53.62,,-1.37,0
176.24,29.367,10,697.84,,-0.0199,0,-24.73,,-1.37,0
177.24,29.535,10,697.35,,0.0067,0,-164.99,,-1.37,0
178.36,29.722,10,696.81,,-0.0005,0,-217.83,,-1.37,0
179.36,29.891,10,696.32,,-0.0063,0,-226.17,,-1.37,0
180.48,30.076,10,695.78,,-0.0061,0,-267.2,,-1.37,0
181.61,30.268,10,695.22,,0.009,0,-263.51,,-1.37,0
182.73,30.454,10,694.68,,-0.0296,0,-158.11,,-1.37,0
183.86,30.642,10,694.14,,-0.0192,0,60.29,,-1.37,0
184.86,30.808,10,693.66,,-0.0093,0,122.88,,-1.37,0
185.98,30.995,10,693.11,,0.0111,0,53.8,,-1.37,0
187.1,31.185,10,692.56,,-0.0153,0,-85.89,,-1.37,0
188.22,31.367,10,692.04,,-0.0019,0,-105.49,,-1.37,0
189.34,31.554,10,691.49,,-0.0195,0,-170.82,,-1.37,0
190.46,31.741,10,690.95,,-0.0123,0,-175.84,,-1.37,0
191.58,31.928,10,690.41,,-0.0175,0,-167.33,,-1.37,0
192.71,32.118,10,689.86,,-0.0078,0,-74.52,,-1.37,0
193.71,32.283,10,689.38,,-0.0103,0,-4.57,,-1.37,0
